"startTime","duration","text"
0.16,3.36,"novavax down sharply this morning on the"
2.159,3.361,"report that the company is having"
3.52,4,"manufacturing issues with its coveted"
5.52,3.28,"vaccine mike terrell joins us right now"
7.52,3.119,"in the squawk news line with more on"
8.8,4.719,"this story and meg what's happening here"
10.639,5.681,"the stock's off by about 21"
13.519,5.121,"yeah becky i mean this vaccine has had"
16.32,3.68,"just a roller coaster ride throughout"
18.64,3.68,"the pandemic"
20,5.039,"and it had a lot of manufacturing delays"
22.32,5.44,"already the clinical results looked"
25.039,3.921,"actually incredibly good more than 90"
27.76,2.72,"efficacy"
28.96,3.84,"for this company and so the stock had"
30.48,4.4,"just run up incredibly they had a lot of"
32.8,4.64,"u.s support more than a billion dollars"
34.88,5.679,"from operation warp speed this company"
37.44,4.799,"was really resurrected from the brink"
40.559,3.121,"when this pandemic came along and they"
42.239,3.761,"showed that their technology could"
43.68,4.399,"potentially be useful but this political"
46,4.239,"report today details what's kind of been"
48.079,4.32,"simmering for a while now which is that"
50.239,5.041,"it appears the company is having real"
52.399,5.201,"problems making this vaccine and doing"
55.28,3.84,"it in a way that has a few enough"
57.6,4.24,"impurities that it can pass the"
59.12,4.239,"regulatory tests uh that it needs to be"
61.84,3.279,"able to make it in huge quantities"
63.359,3.841,"around the world and what's really"
65.119,4.641,"concerning about this beyond just for"
67.2,4.8,"the company itself is that this vaccine"
69.76,4,"is important for the global effort of"
72,4.799,"vaccinating the world they've made a lot"
73.76,5.52,"of promises um to the global vaccine"
76.799,4.881,"effort and if they cannot get this"
79.28,4.96,"vaccine manufactured in a pure enough"
81.68,4.799,"way and in large enough doses"
84.24,5.28,"then that's going to deal a real blow to"
86.479,5.441,"the global vaccination effort so we've"
89.52,4.16,"been seeing this delay in manufacturing"
91.92,3.44,"quarter after quarter it gets pushed"
93.68,4.16,"back and this company does not yet have"
95.36,3.92,"emergency use authorization despite"
97.84,3.52,"having presented its faith through"
99.28,4.479,"results months ago phase three results"
101.36,4.16,"that looked really really good this is a"
103.759,4.081,"protein vaccine so it would present a"
105.52,4.639,"new technology one that is more familiar"
107.84,4.88,"for vaccines it's the one that sanofi"
110.159,4.24,"and glaxosmithkline are also working on"
112.72,3.999,"so if there it's a real disappointment"
114.399,5.281,"from a global vaccine equity standpoint"
116.719,4.801,"and also obviously more for uh novovax's"
119.68,3.84,"shareholders who are just seeing another"
121.52,4.72,"delay here potentially into next year if"
123.52,4.64,"they can even get this going hey meg um"
126.24,3.439,"if this is a new company and and they're"
128.16,3.68,"not familiar with"
129.679,4.56,"maybe the logistics of a grand"
131.84,4.399,"manufacturing plan to be delivering"
134.239,3.521,"vaccines around the globe why not take a"
136.239,3.681,"partner i mean johnson johnson and"
137.76,3.92,"others have partnered up"
139.92,3.52,"that is a question a lot of people in"
141.68,3.6,"the industry have been asking and this"
143.44,3.68,"actually isn't a new company they've"
145.28,4.24,"been around for decades but they have"
147.12,5.199,"just uh not successfully gotten a"
149.52,3.68,"vaccine across the finish line and and i"
152.319,3.2,"guess i mean"
153.2,5.28,"to manufacturing a vaccine on such a"
155.519,5.041,"large scale scale absolutely you know a"
158.48,4.24,"lot of folks have pointed that out why"
160.56,4.24,"not partner them up with a gfk and of"
162.72,3.599,"course gsk is working with sanofi on a"
164.8,3.12,"vaccine"
166.319,3.28,"why not partner them with merck instead"
167.92,2.8,"of putting work together with johnson"
169.599,2.561,"and johnson"
170.72,3.12,"a lot of people have said the u.s"
172.16,4.159,"government should have stepped in and"
173.84,4.399,"facilitated a relationship like that and"
176.319,4.481,"it's really unclear why that did not"
178.239,2.561,"happen"
